task_id,phase,method,k,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,dead_code_ratio,clipped_coordinate_rate
bowl_on_plate,free_space,caaa_v2,64,192,279.062625852842,263.07080412607814,1.0,1.0,0.0,1.0721992401191853,0.015625,0.984375,1.0
bowl_on_plate,free_space,caaa_v2,128,48,289.0657343560013,261.6491391844537,1.0,1.0,0.0,1.0711988402523238,0.0078125,0.9921875,1.0
bowl_on_plate,free_space,covariance_mahalanobis,32,48,74.08694311987297,51.520740681184655,1.0,1.0,0.0,0.1297709316419072,0.125,0.875,0.005208333333333333
bowl_on_plate,free_space,covariance_mahalanobis,64,192,77.53564671159431,50.49507344220731,1.0,1.0,8.673617379884035e-19,0.12909455243954848,0.046875,0.953125,0.008897569444444444
bowl_on_plate,free_space,covariance_mahalanobis,128,48,68.91371269862941,44.70834470879121,1.0,1.0,1.1564823173178713e-18,0.12392130719901957,0.03125,0.96875,0.005208333333333333
bowl_on_plate,free_space,euclidean_farthest,32,48,77.60232699483778,40.79456236157829,1.0,1.0,0.0,0.10142403447371677,0.125,0.875,0.0
bowl_on_plate,free_space,euclidean_farthest,64,192,56.64953062518811,33.72389433803725,1.0,1.0,0.0,0.07936346662112002,0.0625,0.9375,0.0
bowl_on_plate,free_space,euclidean_farthest,128,48,50.0262251778716,24.742888107633245,1.0,1.0,0.0,0.05907424303070714,0.0234375,0.9765625,0.0
bowl_on_plate,free_space,global_kmeans,32,48,58.710502262490515,33.04797669303538,1.0,1.0,0.0,0.07858651484507274,0.09375,0.90625,0.0
bowl_on_plate,free_space,global_kmeans,64,192,44.53336948761872,24.99556835272574,1.0,1.0,0.0,0.06176993174948259,0.046875,0.953125,0.0
bowl_on_plate,free_space,global_kmeans,128,48,45.84620904958768,25.549530727646303,1.0,1.0,0.0,0.05882402900396905,0.0234375,0.9765625,0.0
bowl_on_plate,free_space,old_diagonal_sensitivity,32,48,562.7660266529241,215.58749207332713,1.0,1.0,0.00028410774198450034,0.9133320611628895,0.03125,0.96875,0.7065972222222222
bowl_on_plate,free_space,old_diagonal_sensitivity,64,192,487.7629088277804,246.14281355249355,1.0,1.0,1.3877787807814457e-17,1.0001357170238845,0.015625,0.984375,0.8376736111111112
