action_reconstruction_rmse,atlas_size,atlas_unique,balanced_task_effect_error,clipped,contact_force_effect_error,contact_mode_preserved,decoded_bank_index,decoded_mode,decoded_uncertainty,direction_family_id,direction_id,episode_id,error_group_contact_mode_and_penetration,error_group_gripper_and_articulation,error_group_object_pose,error_group_task_progress_and_constraint,error_group_tcp_object_relative_pose,method,nearest_predicted_distance,phase,radius,sign,split,target_id,target_mode,target_uncertainty,task_id,task_progress_abs_error
0.0,,,0.0,0,0.0,1,-1,1,,0,3,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.10087164210880528,-1,calibration,14,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,3,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.10087164210880528,1,calibration,15,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,4,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.040135487611907106,-1,calibration,16,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,4,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.040135487611907106,1,calibration,17,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,4,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06349890353359186,-1,calibration,18,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,4,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06349890353359186,1,calibration,19,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,5,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.04797623266503556,-1,calibration,20,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,5,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.04797623266503556,1,calibration,21,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,5,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.08072306521770362,-1,calibration,22,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,5,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.08072306521770362,1,calibration,23,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,6,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06010888675369891,-1,calibration,24,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,6,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06010888675369891,1,calibration,25,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,0,,0,6,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06334409345880997,-1,calibration,26,0,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,6,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06334409345880997,1,calibration,27,1,,bowl_on_plate,0.0
0.0,,,0.0,0,0.0,1,-1,1,,0,7,24,0.0,0.0,0.0,0.0,0.0,B0_continuous_target,,pre_contact,0.06693019075719199,-1,calibration,28,1,,bowl_on_plate,0.0
