evidence_set,task_id,phase,method,n,settled_effect_error_mean,immediate_effect_error_mean,contact_mode_preservation,task_progress_preservation_005,task_progress_mae,action_reconstruction_error_mean,codebook_utilization,assignment_normalized_entropy,normalized_codebook_perplexity,dead_code_ratio,clipped_coordinate_rate,infeasible_assignment_rate,infeasible_token_rate,solver_latency_ms_mean
old_test_internal_screen,stove_turn_on,contact_onset,M0_frozen_caaa_v2,192,2823.5496890639392,1002.0250610595302,0.4322916666666667,0.4479166666666667,0.06305776678058442,0.7097108627230507,0.015625,-0.0,0.015625,0.984375,0.4661458333333333,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,contact_onset,M1_covariance_mahalanobis,192,239.5584023809678,168.38207579071636,0.9947916666666666,1.0,0.006139162969314102,0.04504074412304702,0.078125,0.2494156051914581,0.044086893413825885,0.921875,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,contact_onset,M2_centered_covariance_residual,192,6.801417786297768,10.870101455713742,1.0,1.0,4.777368737017345e-15,5.192908018849597e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,contact_onset,M3_cara,192,86.28357930155471,94.4899824486671,1.0,1.0,0.0022233563734907168,0.02072312280809199,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,contact_onset,M4_reca,192,86.9042356370789,112.8892806074225,1.0,1.0,0.002358370242195171,0.0287076863166581,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.876262691501324
old_test_internal_screen,stove_turn_on,contact_onset,M5_phase_residual_kmeans,192,6.600780915157685,10.462616576324097,1.0,1.0,5.14247307744801e-15,1.0720229148170147e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,contact_onset,M6_permuted_j_reca,192,85.34101815908754,103.4550619950141,1.0,1.0,0.0022892816010883165,0.0287076863166581,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.230356906324232
old_test_internal_screen,stove_turn_on,contact_onset,M7_random_spd_constrained,192,111.89453114908872,150.2715662841487,1.0,1.0,0.0030901432329579668,0.0249470086861809,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,2.8563084802044614
old_test_internal_screen,stove_turn_on,contact_onset,O1_true_effect_oracle,192,26.47300546527025,69.14250770489359,1.0,1.0,0.0005316264058663216,0.020866102146618746,0.9166666666666666,0.9286289270277199,0.7585915643295356,0.08333333333333337,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,contact_onset,O2_linear_j_oracle,192,52.48775767914421,69.65920127988691,1.0,1.0,0.0012860428859761564,0.019010821009946766,0.9583333333333334,0.9415234184880531,0.7974193312607502,0.04166666666666663,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,free_space,M0_frozen_caaa_v2,192,133.43680152739398,97.21200553056524,1.0,1.0,0.0,0.3150532001172591,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,free_space,M1_covariance_mahalanobis,192,65.08004616893312,49.253109569935184,1.0,1.0,0.0,0.08877042065751274,0.03125,0.14401703170921315,0.02844072772004408,0.96875,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,free_space,M2_centered_covariance_residual,192,3.660105403346747e-13,2.414718211840461e-13,1.0,1.0,0.0,5.64367641723341e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,free_space,M3_cara,192,12.933946699096595,20.07027765388506,1.0,1.0,0.0,0.04932947712892107,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,free_space,M4_reca,192,12.924623024721292,9.859391812616982,1.0,1.0,0.0,0.028709029925254776,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,7.333038578053674
old_test_internal_screen,stove_turn_on,free_space,M5_phase_residual_kmeans,192,2.8384008046467655e-14,2.3011733741770265e-14,1.0,1.0,0.0,1.0697370841833148e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,free_space,M6_permuted_j_reca,192,12.932423039435681,9.870400482249995,1.0,1.0,0.0,0.028709029925254776,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,6.5525408397206775
old_test_internal_screen,stove_turn_on,free_space,M7_random_spd_constrained,192,20.35339148401573,10.094412829460566,1.0,1.0,0.0,0.028489286907673578,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.03125,9.441233839879715
old_test_internal_screen,stove_turn_on,free_space,O1_true_effect_oracle,192,5.802338186208025,4.910566044778605,1.0,1.0,0.0,0.015528399154256023,0.7916666666666666,0.8991236066164967,0.6767097714162129,0.20833333333333337,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,free_space,O2_linear_j_oracle,192,5.80317369614585,4.931037763820021,1.0,1.0,0.0,0.015594105227004905,0.7916666666666666,0.8992583722559865,0.6770629063142787,0.20833333333333337,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,post_contact,M0_frozen_caaa_v2,192,1299.131181252707,937.2298568067521,0.25,0.734375,0.035618120232678886,0.8173116027315137,0.015625,-0.0,0.015625,0.984375,0.5733506944444444,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,post_contact,M1_covariance_mahalanobis,192,1204.2208271669076,684.9390209308464,0.8697916666666666,0.4375,0.04162197230749426,0.09179277836511233,0.078125,0.3783546273719645,0.07536966362860119,0.921875,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,post_contact,M2_centered_covariance_residual,192,2.9830093245773262e-09,2.5357186714903616e-09,1.0,1.0,9.956618862716482e-14,5.378124314115209e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,post_contact,M3_cara,192,170.12082362136854,113.24159691961815,0.890625,1.0,0.005471281861101751,0.022315559646531525,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.0,0.0
old_test_internal_screen,stove_turn_on,post_contact,M4_reca,192,143.42301212982775,116.37679649985722,0.890625,1.0,0.004501340286333728,0.028704241672917994,0.015625,-0.0,0.015625,0.984375,0.0,0.0,0.015625,8.133827800520521
old_test_internal_screen,stove_turn_on,post_contact,M5_phase_residual_kmeans,192,2.963875720897376e-09,2.5357973374139604e-09,1.0,1.0,9.900500558268632e-14,1.1486816413411786e-17,0.75,0.930827083453526,0.7499999999999998,0.25,0.0,0.0,0.0,0.0
